21,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,4,4,0,0,3,0,0,3,0,3,0,88,154,104,0
3,33,1,0,0,0,10,0,3,0,7,0,0,0,0,1,3,0,6,3,0,3,3,0,3,0,0,0,0,116,258,122,0
3,0,7,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,47,40,12,0
3,0,6,16,0,0,7,3,0,3,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,3,0,0,0,73,79,63,0
0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,91,168,89,0
3,0,8,0,0,10,8,3,0,0,4,0,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,0,0,160,198,183,0
0,7,0,0,0,0,22,0,6,4,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,66,195,122,0
0,4,0,0,3,0,9,21,0,3,0,3,0,0,0,0,0,0,4,5,0,4,3,0,3,6,0,3,0,135,272,155,0
0,0,0,0,0,0,10,0,9,3,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,74,79,51,0
3,6,0,0,3,0,16,3,3,50,4,3,3,0,0,0,0,0,7,4,3,6,4,3,0,7,0,3,0,194,311,220,0
3,0,0,0,0,4,3,0,0,0,15,0,3,0,0,4,0,0,3,0,3,9,0,0,0,6,0,0,0,93,167,108,0
3,0,0,0,0,3,5,0,4,5,0,16,0,0,0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,104,174,89,0
0,0,0,3,4,0,18,0,4,8,4,3,31,0,0,0,3,0,7,5,0,0,0,0,3,6,0,4,0,160,308,168,0
0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,48,103,38,0
0,3,3,0,0,0,8,0,0,4,3,0,4,3,9,1,3,0,3,3,1,0,0,0,0,3,0,5,0,73,137,101,0
0,0,0,0,0,0,10,0,7,0,4,3,3,0,0,29,3,0,4,0,0,3,9,0,0,4,0,3,0,126,284,142,0
4,5,1,0,0,0,6,0,0,4,0,0,0,0,0,3,20,3,3,0,4,0,3,0,3,7,0,7,0,119,0,232,154
3,0,3,0,0,0,7,4,0,0,0,0,3,0,0,3,0,17,5,3,0,5,0,0,3,5,0,0,0,55,0,92,104
3,3,3,0,0,0,5,0,0,5,3,0,0,0,0,0,0,5,20,8,0,4,4,4,0,8,5,0,0,58,0,91,103
3,0,0,0,1,0,6,0,4,0,5,0,0,0,0,0,0,3,9,20,3,5,11,5,6,12,6,4,0,85,0,171,131
3,0,3,0,0,0,12,0,3,9,9,0,0,3,0,3,3,0,5,13,38,3,5,0,10,7,0,3,0,118,0,258,219
3,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,14,0,3,6,3,1,5,0,46,0,91,77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,3,24,5,6,5,7,3,0,3,0,7,4,3,15,13,5,5,6,44,13,7,6,7,0,149,0,319,244
3,5,0,0,0,0,5,0,3,5,6,3,0,0,0,0,3,0,16,9,3,7,4,4,33,12,0,7,0,65,0,152,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,3,11,0,3,4,4,0,0,0,0,3,0,3,14,4,3,4,7,0,3,11,34,0,0,93,0,142,134
0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,3,3,0,0,3,3,3,0,12,0,50,0,71,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,39,27,3,7,37,132,9,27,32,54,6,0,3,6,25,24,16,89,25,22,24,48,19,35,57,7,64,0,0,0,0,0
31,86,74,7,23,24,294,37,22,80,79,33,33,18,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,19,18,1,2,10,136,14,16,41,68,9,9,3,5,21,12,49,236,75,40,31,182,9,101,264,4,122,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,133,695,170,113,104,641,36,278,831,67,179,0,0,0,0,0
